CODUSU;ANO4;TRIMESTRE;REGION;MAS_500;AGLOMERADO;PONDERA;CH03;CH04;CH06;CH10;NIVEL_ED;ESTADO;CAT_OCUP;PP07C;PP07H;PP3E_TOT;P21;TOT_P12;P47T;IPCF
TQRMNOP100065;2025;1;44;N;2;1048;1;2;48;2;6;1;2;1;1;54;1434000;0;1434000;128900
TQRMNOP100066;2025;1;1;S;33;586;3;2;27;1;6;3;;;;;0;0;0;89100
TQRMNOP100067;2025;1;40;N;22;933;9;1;34;2;4;1;2;1;1;67;1299000;0;1299000;66000
TQRMNOP100068;2025;1;43;S;20;418;3;2;24;1;5;1;3;2;2;32;475000;54000;529000;42500
TQRMNOP100069;2025;1;40;N;23;1170;3;1;54;2;3;1;3;3;2;41;448000;0;448000;155000
TQRMNOP100070;2025;1;41;N;12;1505;1;2;32;2;4;1;3;1;1;26;176000;0;176000;234400
TQRMNOP100071;2025;1;40;N;9;971;3;1;19;1;4;3;;;;;0;0;0;115200
TQRMNOP100072;2025;1;43;N;29;738;3;1;24;1;5;2;;;;;0;0;0;267100
TQRMNOP100073;2025;1;44;N;6;495;3;1;12;1;1;3;;;;;0;0;0;150600
TQRMNOP100074;2025;1;43;S;19;1969;1;1;23;2;6;1;3;1;1;53;1804000;0;1804000;134600
TQRMNOP100075;2025;1;42;N;25;1744;3;1;27;2;3;1;3;3;2;37;388000;0;388000;191700
TQRMNOP100076;2025;1;1;S;32;1063;1;2;34;2;4;1;2;1;2;22;330000;0;330000;382100
TQRMNOP100077;2025;1;44;N;93;1633;2;1;87;2;2;3;;;;;0;66000;66000;162800
TQRMNOP100078;2025;1;1;S;32;1011;3;1;7;1;3;4;;;;;;;;93300
TQRMNOP100079;2025;1;1;S;32;1165;9;2;61;2;6;1;1;1;1;50;1045000;0;1045000;131700
TQRMNOP100080;2025;1;1;S;33;1334;3;2;18;1;4;3;;;;;0;0;0;200400
TQRMNOP100081;2025;1;42;S;10;1565;1;2;53;2;4;1;3;1;1;47;271000;0;271000;151700
TQRMNOP100082;2025;1;41;S;8;462;1;1;59;2;3;3;;;;;0;0;0;121000
TQRMNOP100083;2025;1;1;S;33;859;1;1;32;2;3;1;2;3;2;30;705000;152000;857000;335100
TQRMNOP100084;2025;1;1;S;33;1948;1;2;89;2;4;3;;;;;0;0;0;87500
TQRMNOP100085;2025;1;42;N;25;1094;6;1;73;2;3;3;;;;;0;0;0;82700
TQRMNOP100086;2025;1;41;N;12;1080;3;2;12;1;3;3;;;;;0;0;0;89600
TQRMNOP100087;2025;1;42;N;27;888;3;1;15;1;3;3;;;;;0;0;0;118600
TQRMNOP100088;2025;1;41;N;15;1850;3;2;15;1;3;3;;;;;0;115000;115000;291400
TQRMNOP100089;2025;1;43;N;29;612;2;2;55;2;6;1;3;1;1;28;397000;0;397000;397800
TQRMNOP100090;2025;1;43;N;34;525;3;1;17;1;3;3;;;;;0;0;0;445300
TQRMNOP100091;2025;1;1;S;33;1203;2;2;71;2;7;3;;;;;0;0;0;161800
TQRMNOP100092;2025;1;44;N;5;1524;2;2;35;2;2;1;1;1;1;41;923000;0;923000;80600
TQRMNOP100093;2025;1;43;S;17;1556;1;1;34;2;4;1;3;1;2;31;1446000;0;1446000;270500
TQRMNOP100094;2025;1;42;N;27;1677;1;2;35;1;3;3;;;;;0;0;0;195600
TQRMNOP100095;2025;1;42;N;25;1444;1;2;25;2;5;1;2;2;2;34;682000;0;682000;77300
TQRMNOP100096;2025;1;41;S;8;948;3;2;17;1;3;3;;;;;0;49000;49000;229700
TQRMNOP100097;2025;1;43;S;19;1024;3;2;19;1;5;3;;;;;0;0;0;75100
TQRMNOP100098;2025;1;1;S;32;693;3;2;7;1;2;4;;;;;;;;291700
TQRMNOP100099;2025;1;42;S;10;875;2;2;80;2;5;3;;;;;0;86000;86000;172000
TQRMNOP100100;2025;1;43;N;38;1445;3;1;6;1;1;4;;;;;;;;133200
TQRMNOP100101;2025;1;1;S;33;581;1;2;62;2;5;3;;;;;0;0;0;208200
TQRMNOP100102;2025;1;42;N;25;1775;1;1;59;2;4;1;3;1;1;48;809000;0;809000;37200
TQRMNOP100103;2025;1;40;N;9;1543;2;1;57;2;6;3;;;;;0;0;0;139000
TQRMNOP100104;2025;1;43;N;38;1053;3;2;11;1;2;3;;;;;0;0;0;96600
TQRMNOP100105;2025;1;1;S;32;1587;2;2;49;2;4;3;;;;;0;0;0;187600
TQRMNOP100106;2025;1;42;N;27;848;1;2;52;2;6;1;3;1;1;26;719000;0;719000;351800
TQRMNOP100107;2025;1;43;S;19;461;1;2;40;2;3;2;;;;;0;0;0;132100
TQRMNOP100108;2025;1;42;S;10;744;3;2;6;1;3;4;;;;;;;;242900
TQRMNOP100109;2025;1;40;N;23;1098;5;2;6;1;2;4;;;;;;;;263900
TQRMNOP100110;2025;1;42;N;25;1545;1;1;33;2;6;1;3;1;1;30;1017000;0;1017000;330000
TQRMNOP100111;2025;1;40;N;9;2157;1;1;93;2;6;3;;;;;0;36000;36000;213300
TQRMNOP100112;2025;1;42;N;27;1327;2;1;43;2;3;1;4;2;2;48;276000;0;276000;136100
TQRMNOP100113;2025;1;1;S;32;258;1;1;78;2;2;3;;;;;0;0;0;189200
TQRMNOP100114;2025;1;1;S;32;1111;1;1;30;1;6;1;1;1;1;74;1351000;73000;1424000;318100
TQRMNOP100115;2025;1;1;S;33;683;1;2;49;2;7;1;3;2;2;41;539000;0;539000;124600
TQRMNOP100116;2025;1;1;S;33;1293;3;2;0;1;3;4;;;;;;;;195000
TQRMNOP100117;2025;1;41;S;8;1977;3;2;20;2;3;3;;;;;0;69000;69000;118200
TQRMNOP100118;2025;1;1;S;33;1586;5;1;16;1;3;3;;;;;0;123000;123000;157000
TQRMNOP100119;2025;1;41;S;8;1381;1;2;48;3;2;1;3;2;2;52;552000;0;552000;290400
TQRMNOP100120;2025;1;42;N;27;1119;3;2;12;1;2;3;;;;;0;0;0;87100
TQRMNOP100121;2025;1;43;S;19;868;3;2;5;1;1;4;;;;;;;;352700
TQRMNOP100122;2025;1;40;N;23;1550;1;1;48;2;1;3;;;;;0;76000;76000;434300
TQRMNOP100123;2025;1;40;S;7;1435;3;1;14;1;3;3;;;;;0;0;0;111600
TQRMNOP100124;2025;1;40;N;23;1197;1;1;31;1;3;1;3;3;1;17;808000;0;808000;151900
TQRMNOP100125;2025;1;1;S;33;720;1;2;40;1;6;1;3;1;1;26;508000;0;508000;227300
TQRMNOP100126;2025;1;42;N;25;604;3;1;29;1;2;1;3;3;2;41;418000;0;418000;195000
TQRMNOP100127;2025;1;43;N;29;1534;3;1;15;1;3;3;;;;;0;0;0;448200
TQRMNOP100128;2025;1;41;N;15;631;3;2;4;1;3;4;;;;;;;;114700
TQRMNOP100129;2025;1;41;N;15;1702;3;2;27;2;2;3;;;;;0;0;0;171700
TQRMNOP100130;2025;1;44;N;6;1213;3;2;13;1;1;3;;;;;0;0;0;186300
TQRMNOP100131;2025;1;43;S;17;1156;2;2;44;2;6;1;2;1;1;54;-9;0;0;64600
TQRMNOP100132;2025;1;43;N;29;806;1;1;34;3;3;1;3;1;1;50;743000;0;743000;220800
TQRMNOP100133;2025;1;43;N;29;563;2;2;48;2;6;3;;;;;0;0;0;138800
TQRMNOP100134;2025;1;1;S;32;1349;3;2;15;1;3;3;;;;;0;0;0;432500
TQRMNOP100135;2025;1;42;N;25;1042;2;2;33;2;6;1;2;1;1;51;914000;0;914000;254500
TQRMNOP100136;2025;1;43;S;30;1034;3;1;24;2;6;1;1;1;1;22;1107000;0;1107000;174100
TQRMNOP100137;2025;1;43;S;30;1069;1;1;72;2;3;3;;;;;0;0;0;224200
TQRMNOP100138;2025;1;40;N;9;726;9;2;64;2;1;3;;;;;0;0;0;213800
TQRMNOP100139;2025;1;42;N;25;1013;3;1;75;2;5;3;;;;;0;0;0;104500
TQRMNOP100140;2025;1;42;N;27;734;3;1;41;1;4;1;3;2;2;32;493000;0;493000;125300
TQRMNOP100141;2025;1;40;N;23;649;9;2;39;2;4;1;2;3;1;54;887000;0;887000;286200
TQRMNOP100142;2025;1;1;S;32;1022;3;2;13;1;1;3;;;;;0;0;0;218400
TQRMNOP100143;2025;1;40;S;7;738;6;2;71;2;6;3;;;;;0;0;0;308300
TQRMNOP100144;2025;1;44;S;13;1547;1;2;86;2;4;3;;;;;0;0;0;415900
TQRMNOP100145;2025;1;1;S;32;999;1;2;31;2;5;1;2;1;1;30;555000;0;555000;190300
TQRMNOP100146;2025;1;1;S;33;1534;3;2;58;2;4;1;3;1;1;31;1171000;0;1171000;380200
TQRMNOP100147;2025;1;40;N;9;981;6;2;50;2;6;1;3;2;2;24;214000;0;214000;215900
TQRMNOP100148;2025;1;1;S;32;614;1;2;70;2;3;3;;;;;0;0;0;59900
TQRMNOP100149;2025;1;1;S;33;1583;6;1;45;2;5;3;;;;;0;0;0;162400
TQRMNOP100150;2025;1;43;N;38;735;3;2;23;1;6;3;;;;;0;0;0;92700
TQRMNOP100151;2025;1;40;S;7;519;3;2;22;2;4;1;3;2;2;47;166000;0;166000;314000
TQRMNOP100152;2025;1;42;S;10;1338;1;2;40;2;5;3;;;;;0;0;0;158600
TQRMNOP100153;2025;1;1;S;33;1430;1;2;23;2;4;1;3;1;1;23;-9;0;0;180300
TQRMNOP100154;2025;1;42;S;10;538;3;2;0;1;3;4;;;;;;;;324600
TQRMNOP100155;2025;1;1;S;33;1001;2;2;22;1;3;1;3;1;1;24;615000;0;615000;114100
TQRMNOP100156;2025;1;43;S;36;793;3;2;16;1;2;1;2;3;2;42;522000;0;522000;137100
TQRMNOP100157;2025;1;40;N;23;713;3;2;19;2;4;3;;;;;0;0;0;21100
TQRMNOP100158;2025;1;1;S;33;1597;3;2;22;1;5;3;;;;;0;0;0;99200
TQRMNOP100159;2025;1;43;S;19;615;1;1;23;2;6;1;3;2;2;39;880000;0;880000;106200
TQRMNOP100160;2025;1;41;S;8;1137;1;1;49;2;6;1;3;1;1;33;1390000;16000;1406000;160000
TQRMNOP100161;2025;1;40;S;7;949;9;2;13;1;2;3;;;;;0;0;0;288800
TQRMNOP100162;2025;1;1;S;33;1578;1;1;62;1;1;1;3;1;2;7;638000;111000;749000;157700
TQRMNOP100163;2025;1;43;S;36;820;1;2;55;2;2;3;;;;;0;0;0;57600
TQRMNOP100164;2025;1;40;N;9;1135;3;2;4;1;2;4;;;;;;;;181500
TQRMNOP100165;2025;1;1;S;32;2127;3;2;21;1;4;1;2;2;2;11;177000;63000;240000;132300
TQRMNOP100166;2025;1;44;N;4;870;3;2;16;1;1;3;;;;;0;98000;98000;158400
TQRMNOP100167;2025;1;1;S;33;1489;9;1;60;2;4;3;;;;;0;0;0;307000
TQRMNOP100168;2025;1;1;S;32;1207;1;2;64;2;4;3;;;;;0;0;0;107400
TQRMNOP100169;2025;1;41;S;8;1124;3;2;28;1;5;1;1;1;1;28;-9;0;0;192700
TQRMNOP100170;2025;1;1;S;33;951;3;1;58;2;5;1;3;1;1;55;1281000;0;1281000;109200
TQRMNOP100171;2025;1;40;N;9;672;3;2;29;1;5;3;;;;;0;0;0;236100
TQRMNOP100172;2025;1;41;N;12;981;3;1;9;1;1;4;;;;;;;;249300
TQRMNOP100173;2025;1;44;N;93;1414;1;2;71;2;7;3;;;;;0;0;0;89800
TQRMNOP100174;2025;1;44;N;6;858;5;2;8;1;7;4;;;;;;;;78500
TQRMNOP100175;2025;1;1;S;33;1639;3;2;6;1;2;4;;;;;;;;199800
TQRMNOP100176;2025;1;43;S;19;934;9;1;35;2;6;1;3;1;1;33;615000;0;615000;201400
TQRMNOP100177;2025;1;1;S;32;1251;6;1;50;2;4;1;3;1;2;57;1832000;0;1832000;314300
TQRMNOP100178;2025;1;43;S;19;1979;2;1;31;1;6;1;3;1;1;70;1128000;0;1128000;159400
TQRMNOP100179;2025;1;1;S;33;1583;3;2;1;1;1;4;;;;;;;;169700
TQRMNOP100180;2025;1;43;N;38;1114;1;1;21;1;3;3;;;;;0;0;0;109800
TQRMNOP100181;2025;1;43;S;19;1419;3;2;12;1;1;3;;;;;0;0;0;183900
TQRMNOP100182;2025;1;43;N;38;1060;2;2;65;2;2;1;1;3;2;18;614000;0;614000;48200
TQRMNOP100183;2025;1;44;N;2;386;1;1;23;1;3;1;2;2;2;33;362000;0;362000;321200
TQRMNOP100184;2025;1;1;S;33;1078;1;2;51;2;2;2;;;;;0;107000;107000;238800
TQRMNOP100185;2025;1;42;S;10;1824;3;2;0;1;3;4;;;;;;;;130100
TQRMNOP100186;2025;1;43;S;20;859;2;2;75;2;4;3;;;;;0;0;0;47500
TQRMNOP100187;2025;1;1;S;32;1589;1;1;31;2;5;1;1;1;1;41;1143000;0;1143000;146500
TQRMNOP100188;2025;1;42;N;25;1392;3;2;23;2;6;3;;;;;0;0;0;204600
TQRMNOP100189;2025;1;40;S;7;1839;1;1;18;1;5;1;2;2;2;38;-9;0;0;82400
TQRMNOP100190;2025;1;1;S;32;852;3;2;58;2;6;1;1;1;1;15;789000;0;789000;114700
TQRMNOP100191;2025;1;41;N;15;684;1;2;70;2;3;3;;;;;0;158000;158000;612200
TQRMNOP100192;2025;1;41;N;12;976;1;1;67;2;6;3;;;;;0;0;0;332000
TQRMNOP100193;2025;1;42;N;27;1266;3;2;7;1;7;4;;;;;;;;95600
TQRMNOP100194;2025;1;42;S;10;1018;1;1;53;1;5;1;3;1;1;52;1179000;0;1179000;168600
TQRMNOP100195;2025;1;41;N;12;1378;1;2;35;2;6;1;3;1;1;58;272000;0;272000;138400
TQRMNOP100196;2025;1;43;S;20;914;1;1;62;2;3;3;;;;;0;0;0;244600
TQRMNOP100197;2025;1;1;S;32;990;6;1;60;2;1;3;;;;;0;0;0;250400
TQRMNOP100198;2025;1;1;S;33;1643;5;1;13;1;3;1;2;1;2;37;363000;64000;427000;194300
TQRMNOP100199;2025;1;40;S;7;1170;1;2;31;2;4;1;3;2;2;43;476000;0;476000;546900
TQRMNOP100200;2025;1;43;S;20;1562;1;1;43;1;4;1;3;1;1;50;827000;0;827000;223800
TQRMNOP100201;2025;1;42;S;10;1560;6;2;39;2;6;1;3;1;1;60;1613000;0;1613000;242100
TQRMNOP100202;2025;1;1;S;32;1274;1;1;35;2;2;1;3;3;2;30;208000;0;208000;580600
TQRMNOP100203;2025;1;43;S;17;1290;1;1;56;2;6;1;3;1;1;54;-9;65000;64991;153000
TQRMNOP100204;2025;1;43;S;36;376;1;2;34;2;2;3;;;;;0;0;0;212000
TQRMNOP100205;2025;1;43;S;17;496;3;1;1;1;2;4;;;;;;;;174900
TQRMNOP100206;2025;1;1;S;32;751;1;2;58;2;6;1;3;1;1;45;1256000;0;1256000;186200
TQRMNOP100207;2025;1;1;S;32;1120;1;2;37;2;6;1;3;1;1;48;1325000;0;1325000;119200
TQRMNOP100208;2025;1;43;S;20;1809;3;2;10;1;7;1;3;1;2;30;263000;0;263000;170200
TQRMNOP100209;2025;1;43;S;17;849;9;1;41;1;4;1;2;1;1;49;358000;0;358000;94600
TQRMNOP100210;2025;1;1;S;32;1172;3;1;1;1;2;4;;;;;;;;160300
TQRMNOP100211;2025;1;41;N;15;1450;2;1;71;2;2;3;;;;;0;0;0;119500
TQRMNOP100212;2025;1;1;S;32;1225;3;1;1;1;1;4;;;;;;;;156600
TQRMNOP100213;2025;1;40;S;7;952;2;2;32;2;6;1;1;1;1;16;232000;0;232000;155300
TQRMNOP100214;2025;1;1;S;32;1290;1;1;64;2;3;1;3;3;2;49;505000;0;505000;116700
TQRMNOP100215;2025;1;1;S;32;513;2;1;91;2;3;3;;;;;0;0;0;287800
TQRMNOP100216;2025;1;1;S;33;861;1;2;32;2;6;1;2;1;1;74;-9;0;0;128300
TQRMNOP100217;2025;1;43;S;36;1728;3;2;61;2;2;3;;;;;0;0;0;203500
TQRMNOP100218;2025;1;42;N;25;1060;5;2;3;1;1;4;;;;;;;;303200
TQRMNOP100219;2025;1;1;S;33;1244;3;1;23;2;4;2;;;;;0;0;0;68900
TQRMNOP100220;2025;1;40;N;23;1206;9;2;35;2;1;1;1;1;2;35;86000;0;86000;463600
TQRMNOP100221;2025;1;41;N;15;1655;3;2;3;1;3;4;;;;;;;;145500
TQRMNOP100222;2025;1;42;S;10;452;2;1;73;2;4;3;;;;;0;32000;32000;84900
TQRMNOP100223;2025;1;41;N;15;1372;3;2;16;1;3;3;;;;;0;0;0;236700
TQRMNOP100224;2025;1;40;N;23;1751;3;2;26;2;2;1;2;2;2;21;178000;101000;279000;150700
TQRMNOP100225;2025;1;40;N;9;765;1;2;23;2;1;1;3;2;2;29;119000;0;119000;218000
TQRMNOP100226;2025;1;42;N;27;1209;2;2;65;2;6;1;3;1;1;69;720000;0;720000;227200
TQRMNOP100227;2025;1;44;N;4;691;2;2;66;2;4;1;1;1;1;42;620000;0;620000;70100
TQRMNOP100228;2025;1;41;S;8;526;2;2;47;2;4;3;;;;;0;0;0;122700
TQRMNOP100229;2025;1;43;S;30;675;3;1;12;1;3;3;;;;;0;0;0;277800
TQRMNOP100230;2025;1;1;S;32;586;2;1;43;2;5;1;3;2;1;55;3208000;0;3208000;298300
TQRMNOP100231;2025;1;1;S;32;982;1;1;53;3;6;1;3;1;1;60;1588000;0;1588000;224900
TQRMNOP100232;2025;1;43;N;26;1125;3;1;22;2;4;3;;;;;0;0;0;91700
TQRMNOP100233;2025;1;41;N;12;1819;3;1;29;2;3;3;;;;;0;0;0;419100
TQRMNOP100234;2025;1;41;S;8;1408;5;2;11;1;7;3;;;;;0;0;0;163800
TQRMNOP100235;2025;1;40;N;23;1296;3;2;56;2;5;3;;;;;0;0;0;127100
TQRMNOP100236;2025;1;1;S;32;1254;2;2;59;2;3;3;;;;;0;0;0;105500
TQRMNOP100237;2025;1;42;N;27;1077;3;2;0;1;3;4;;;;;;;;149300
TQRMNOP100238;2025;1;40;N;22;1228;2;2;42;1;6;1;2;1;1;45;868000;0;868000;93900
TQRMNOP100239;2025;1;40;S;7;1488;1;1;69;2;2;3;;;;;0;0;0;183400
TQRMNOP100240;2025;1;43;S;19;1010;3;1;6;1;1;4;;;;;;;;179700
TQRMNOP100241;2025;1;44;N;14;765;1;2;56;2;6;3;;;;;0;0;0;137900
TQRMNOP100242;2025;1;44;N;93;2245;3;1;14;1;3;3;;;;;0;37000;37000;230900
TQRMNOP100243;2025;1;41;S;8;675;3;1;13;1;2;3;;;;;0;0;0;256400
TQRMNOP100244;2025;1;1;S;33;1164;3;2;51;2;4;3;;;;;0;0;0;224100
TQRMNOP100245;2025;1;1;S;32;1148;3;1;5;1;1;4;;;;;;;;78100
TQRMNOP100246;2025;1;41;N;12;784;1;1;19;2;3;2;;;;;0;0;0;125200
TQRMNOP100247;2025;1;1;S;33;645;3;2;29;1;4;1;3;3;2;27;279000;56000;335000;754600
TQRMNOP100248;2025;1;1;S;32;1522;1;2;52;2;5;1;2;1;1;58;588000;0;588000;76400
TQRMNOP100249;2025;1;1;S;33;1923;1;1;55;2;3;3;;;;;0;74000;74000;163800
TQRMNOP100250;2025;1;44;S;13;639;1;2;57;2;3;3;;;;;0;0;0;232600
TQRMNOP100251;2025;1;1;S;33;1186;3;2;6;1;7;4;;;;;;;;264900
TQRMNOP100252;2025;1;1;S;32;989;1;1;61;2;6;3;;;;;0;0;0;331200
TQRMNOP100253;2025;1;43;N;38;1124;3;1;11;1;1;2;;;;;0;0;0;197700
TQRMNOP100254;2025;1;42;N;25;641;3;2;8;1;1;4;;;;;;;;178500
TQRMNOP100255;2025;1;43;S;30;1314;1;1;59;2;5;1;3;1;1;44;854000;0;854000;77100
TQRMNOP100256;2025;1;40;N;9;764;9;2;13;1;2;3;;;;;0;0;0;98900
TQRMNOP100257;2025;1;44;N;2;693;3;1;25;1;3;1;2;3;2;49;612000;0;612000;184000
TQRMNOP100258;2025;1;44;S;13;557;2;2;39;2;4;3;;;;;0;0;0;173900
TQRMNOP100259;2025;1;41;S;8;590;3;2;1;1;1;4;;;;;;;;161800
TQRMNOP100260;2025;1;44;N;4;1361;1;1;42;2;3;1;3;2;2;45;440000;0;440000;121200
TQRMNOP100261;2025;1;41;N;12;882;1;2;82;2;5;3;;;;;0;0;0;157300
TQRMNOP100262;2025;1;40;N;9;1094;1;2;35;2;4;1;3;1;1;35;351000;0;351000;179900
TQRMNOP100263;2025;1;43;S;19;1510;1;2;27;2;4;1;3;2;2;18;383000;0;383000;50100
TQRMNOP100264;2025;1;42;N;27;1255;2;2;43;1;3;1;2;1;2;22;518000;0;518000;139000
TQRMNOP100265;2025;1;1;S;33;1779;3;2;15;1;3;3;;;;;0;0;0;167600
TQRMNOP100266;2025;1;41;S;8;1086;2;1;58;2;3;2;;;;;0;0;0;155700
TQRMNOP100267;2025;1;1;S;33;1285;3;2;15;1;1;3;;;;;0;58000;58000;613600
TQRMNOP100268;2025;1;43;S;17;1305;3;2;26;1;3;3;;;;;0;0;0;239600
